Date,Open,High,Low,Close,Adj Close,Volume
2002-01-14,77.000000,79.000000,76.125000,307.200012,76.800003,41844
2002-01-15,76.224998,77.449997,74.300003,299.299988,74.824997,23748
2002-01-16,76.099998,77.000000,74.250000,301.600006,75.400002,25812
2002-01-17,72.500000,77.500000,72.500000,306.700012,76.675003,42920
2002-01-18,77.500000,79.949997,76.300003,308.399994,77.099998,39464
2002-01-21,76.050003,76.400002,74.550003,301.600006,75.400002,10964
2002-01-22,74.949997,77.349998,74.949997,303.299988,75.824997,19856
2002-01-23,74.025002,76.375000,73.125000,295.600006,73.900002,15328
2002-01-24,76.000000,76.500000,73.900002,297.299988,74.324997,21124
2002-01-25,72.625000,74.750000,71.000000,288.600006,72.150002,29956
2002-01-28,70.000000,71.000000,67.875000,275.100006,68.775002,26820
2002-01-29,69.974998,71.500000,68.300003,277.200012,69.300003,18676
2002-01-30,69.250000,70.000000,66.750000,267.399994,66.849998,6892
2002-01-31,67.000000,70.250000,67.000000,279.500000,69.875000,11772
2002-02-01,71.000000,71.500000,69.000000,280.000000,70.000000,19176
2002-02-04,68.500000,69.425003,68.025002,275.500000,68.875000,11504
2002-02-05,68.974998,69.550003,67.750000,271.799988,67.949997,5096
2002-02-06,78.699997,78.699997,71.000000,306.000000,76.500000,64900
2002-02-07,74.250000,76.800003,72.000000,290.100006,72.525002,33432
2002-02-08,73.449997,73.974998,71.250000,286.299988,71.574997,11960
2002-02-11,73.000000,76.250000,73.000000,295.399994,73.849998,32560
2002-02-12,76.500000,78.375000,74.000000,298.200012,74.550003,23732
2002-02-13,76.000000,76.949997,71.500000,294.100006,73.525002,25796
2002-02-14,77.175003,77.199997,73.000000,292.600006,73.150002,23568
2002-02-15,72.224998,74.949997,72.224998,295.600006,73.900002,16640
2002-02-18,71.550003,75.000000,71.550003,294.500000,73.625000,11496
2002-02-19,75.250000,80.000000,72.599998,305.600006,76.400002,81880
2002-02-20,79.400002,87.349998,78.025002,328.899994,82.224998,590292
2002-02-21,84.500000,87.250000,81.500000,331.399994,82.849998,217008
2002-02-22,79.500000,83.500000,79.250000,326.299988,81.574997,108556
2002-02-25,81.000000,82.500000,80.050003,321.700012,80.425003,36276
2002-02-26,82.474998,82.550003,79.525002,322.200012,80.550003,30128
2002-02-27,81.375000,82.500000,77.250000,311.000000,77.750000,37616
2002-02-28,78.425003,80.000000,70.750000,287.600006,71.900002,46496
2002-03-01,72.000000,74.949997,69.150002,294.299988,73.574997,31572
2002-03-04,78.949997,78.949997,73.500000,297.100006,74.275002,22588
2002-03-05,77.500000,78.400002,74.500000,299.600006,74.900002,36820
2002-03-06,76.474998,76.925003,74.000000,298.299988,74.574997,19364
2002-03-07,76.324997,76.349998,74.525002,301.899994,75.474998,27512
2002-03-08,76.250000,78.500000,75.900002,311.600006,77.900002,53708
2002-03-11,79.375000,79.375000,76.000000,305.500000,76.375000,37768
2002-03-12,76.300003,76.300003,74.125000,298.500000,74.625000,25392
2002-03-13,74.074997,76.500000,73.849998,302.500000,75.625000,24188
2002-03-14,80.000000,80.000000,74.125000,304.200012,76.050003,23056
2002-03-15,76.875000,76.875000,75.250000,304.799988,76.199997,16468
2002-03-18,79.000000,91.425003,77.500000,365.700012,91.425003,311992
2002-03-19,95.000000,96.900002,85.074997,343.600006,85.900002,419080
2002-03-20,87.000000,100.500000,87.000000,397.000000,99.250000,1757320
2002-03-21,99.949997,110.675003,97.500000,437.399994,109.349998,3185752
2002-03-22,110.074997,113.849998,103.050003,415.299988,103.824997,2978560
2002-03-26,102.500000,103.974998,92.599998,373.600006,93.400002,840264
2002-03-27,94.900002,103.449997,93.849998,408.299988,102.074997,2489904
2002-04-01,107.000000,107.449997,100.875000,414.700012,103.675003,1279508
2002-04-02,104.449997,115.949997,102.500000,435.000000,108.750000,2278888
2002-04-03,107.500000,130.500000,106.150002,522.000000,130.500000,4911904
2002-04-04,134.975006,145.250000,133.500000,548.000000,137.000000,4368312
2002-04-05,136.899994,138.899994,130.625000,532.099976,133.024994,2569424
2002-04-08,134.899994,138.699997,128.500000,521.099976,130.274994,2273700
2002-04-09,131.475006,133.000000,125.300003,524.799988,131.199997,1503188
2002-04-10,130.000000,141.300003,130.000000,550.299988,137.574997,2139748
2002-04-11,139.850006,150.699997,137.050003,584.599976,146.149994,2907016
2002-04-12,140.000000,159.699997,140.000000,608.700012,152.175003,3698532
2002-04-15,162.500000,162.500000,142.625000,572.299988,143.074997,1289184
2002-04-16,144.949997,147.875000,140.199997,565.299988,141.324997,1168348
2002-04-17,147.000000,149.949997,143.125000,575.400024,143.850006,760668
2002-04-18,145.500000,160.399994,141.550003,631.500000,157.875000,1504628
2002-04-19,159.800003,167.125000,148.000000,603.299988,150.824997,4243768
2002-04-22,152.500000,153.875000,144.050003,600.099976,150.024994,1566096
2002-04-23,150.000000,162.199997,149.625000,642.000000,160.500000,2308068
2002-04-24,162.000000,164.449997,157.550003,639.099976,159.774994,1493760
2002-04-25,161.000000,161.000000,151.500000,612.799988,153.199997,1014248
2002-04-26,153.500000,159.199997,149.125000,609.500000,152.375000,1253376
2002-04-29,151.000000,154.000000,144.949997,588.500000,147.125000,1078636
2002-04-30,149.375000,153.824997,148.500000,602.700012,150.675003,1052888
2002-05-02,153.250000,158.199997,152.449997,625.299988,156.324997,1301892
2002-05-03,156.449997,156.975006,151.375000,612.500000,153.125000,689088
2002-05-06,153.500000,154.399994,149.500000,602.200012,150.550003,393272
2002-05-07,151.500000,153.500000,148.250000,598.099976,149.524994,454968
2002-05-08,153.475006,155.000000,150.074997,604.000000,151.000000,435556
2002-05-09,157.524994,157.524994,147.550003,598.799988,149.699997,548512
2002-05-10,149.500000,150.949997,146.300003,588.099976,147.024994,299324
2002-05-13,148.899994,149.500000,143.375000,577.400024,144.350006,168724
2002-05-14,146.500000,147.500000,138.024994,559.700012,139.925003,198492
2002-05-15,142.350006,143.300003,132.550003,540.400024,135.100006,265944
2002-05-16,135.774994,137.399994,129.500000,521.500000,130.375000,241696
2002-05-17,131.699997,132.000000,124.500000,514.099976,128.524994,240312
2002-05-20,130.050003,131.500000,112.500000,469.200012,117.300003,135844
2002-05-21,113.099998,113.949997,100.250000,429.200012,107.300003,345124
2002-05-22,103.250000,112.500000,103.250000,438.700012,109.675003,366696
2002-05-23,109.675003,111.500000,105.000000,426.799988,106.699997,174412
2002-05-24,110.000000,128.024994,110.000000,512.099976,128.024994,613516
2002-05-27,130.500000,135.500000,120.500000,513.799988,128.449997,1109852
2002-05-28,125.000000,128.250000,118.500000,481.000000,120.250000,463284
2002-05-29,122.500000,129.000000,122.000000,503.500000,125.875000,543056
2002-05-30,126.500000,134.000000,122.000000,495.000000,123.750000,715652
2002-05-31,125.000000,126.500000,121.500000,495.700012,123.925003,315800
2002-06-03,126.500000,131.425003,126.500000,509.899994,127.474998,341528
2002-06-04,127.000000,128.500000,125.000000,507.100006,126.775002,179236
2002-06-05,128.250000,132.500000,127.625000,519.000000,129.750000,363604
2002-06-06,131.399994,133.000000,126.000000,507.000000,126.750000,158788
2002-06-07,124.050003,125.000000,120.000000,483.500000,120.875000,146688
2002-06-10,122.849998,126.000000,117.125000,471.799988,117.949997,260732
2002-06-11,121.400002,124.925003,121.400002,488.799988,122.199997,222660
2002-06-12,123.000000,123.500000,118.599998,480.899994,120.224998,110020
2002-06-13,118.875000,123.250000,118.824997,478.299988,119.574997,73016
2002-06-14,118.824997,120.500000,117.750000,478.600006,119.650002,82860
2002-06-17,121.599998,127.474998,121.425003,489.600006,122.400002,197656
2002-06-18,124.900002,125.849998,118.000000,475.200012,118.800003,93044
2002-06-19,119.349998,120.900002,115.099998,463.700012,115.925003,113980
2002-06-20,115.474998,119.125000,115.474998,471.299988,117.824997,76196
2002-06-21,117.500000,117.500000,115.000000,462.100006,115.525002,33960
2002-06-24,115.974998,119.375000,115.000000,463.600006,115.900002,87692
2002-06-25,117.474998,118.000000,114.650002,463.100006,115.775002,50252
2002-06-26,115.449997,116.000000,110.675003,444.100006,111.025002,50152
2002-07-15,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-16,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-17,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-18,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-19,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-22,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-23,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-24,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-25,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-26,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-29,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-30,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-07-31,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-08-01,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-08-02,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-08-05,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-08-06,111.025002,111.025002,111.025002,444.100006,111.025002,0
2002-08-07,111.025002,111.025002,111.025002,444.100006,111.025002,0
